order_id,order_date,customer_id,region,product_category,quantity,unit_price,returned
O0001,1/4/2026,C018,South,Electronics,2,799,TRUE
O0002,3/17/2026,C028,North,Electronics,1,499,FALSE
O0003,3/13/2026,C013,West,Electronics,2,2499,FALSE
O0004,1/21/2026,C028,East,Electronics,3,799,FALSE
O0005,1/12/2026,C025,North,Electronics,3,1299,FALSE
O0006,2/28/2026,C035, north ,Electronics,4,499,FALSE
O0007,3/15/2026,C013,North,Sports,1,399,FALSE
O0008,1/13/2026,C025,East,Home,4,599,FALSE
O0009,1/27/2026,C018,North,electronics ,2,399,FALSE
O0010,2/4/2026,C015,East,Books,1,149,FALSE
O0011,2/4/2026,C005,South,Books,3,149,FALSE
O0012,1/19/2026,C017,South,Books,2,199,FALSE
O0013,2/16/2026,C015,South,Books,4,99,FALSE
O0014,3/22/2026,C011,West,Home,1,899,TRUE
O0015,3/9/2026,C017,North,Books,1,199,FALSE
O0016,2/25/2026,C011,West,Sports,1,699,FALSE
O0017,3/22/2026,C020,South,Electronics,2,1299,TRUE
O0018,3/18/2026,C021,SOUTH,Electronics,1,499,FALSE
O0019,1/8/2026,C016,North,Home,1,899,TRUE
O0020,1/17/2026,C031,South,Home,3,899,TRUE
O0021,2/9/2026,C026,East,Home,4,899,FALSE
O0022,1/9/2026,C022,North,Home,2,299,Yes
O0023,1/30/2026,C005,North,Electronics,3,499,FALSE
O0024,3/27/2026,C032,South,Sports,2,1199,FALSE
O0025,1/25/2026,C007,North,Books,4,199,FALSE
O0026,1/7/2026,C007,North,Books,4,199,FALSE
O0027,1/25/2026,C035,West,Home,2,899,FALSE
O0028,2/1/2026,C005,West,Books,,99,FALSE
O0029,1/31/2026,C011,West,Electronics,4,2499,FALSE
O0030,1/22/2026,C025,North,Electronics,4,1299,FALSE
O0031,3/31/2026,C032,South,Books,2,199,FALSE
O0032,2/10/2026,C004,,Electronics,4,799,TRUE
O0033,1/24/2026,C005,North,Electronics,2,2499,TRUE
O0034,3/16/2026,C003,North,Home,4,599,FALSE
O0035,1/31/2026,C017,West,Sports,2,699,FALSE
O0036,1/2/2026,C030,North,Electronics,1,799,FALSE
O0037,2/14/2026,C005,South,Home,3,599,FALSE
O0038,3/20/2026,C034,North,Sports,3,199,FALSE
O0039,1/14/2026,C010,East,Electronics,3,799,FALSE
O0040,3/6/2026,C032,East,Sports,1,199,FALSE
O0041,1/1/2026,C022,South,Electronics,3,799,TRUE
O0042,3/13/2026,C001,North,Books,1,149,FALSE
O0043,3/16/2026,C010,West,Sports,2,199,FALSE
O0044,2/15/2026,C014,South,Electronics,1,1299,FALSE
O0045,1/31/2026,C011,South,HOME,4,149,FALSE
O0046,3/27/2026,C016,East,Books,2,99,FALSE
O0047,1/29/2026,C013,West,Books,3,199,FALSE
O0048,3/26/2026,C013,West,Electronics,3,1299,FALSE
O0049,3/24/2026,C033,West,Sports,3,199,FALSE
O0050,3/16/2026,C017,North,Home,1,899,FALSE
O0051,3/19/2026,C033,North,Books,4,149,FALSE
O0052,1/1/2026,C034,South,Books,3,249,FALSE
O0053,3/26/2026,C008,East,Sports,3,1199,no
O0054,3/12/2026,C009,South,Sports,4,1199,TRUE
O0055,2/21/2026,C001,East,Sports,3,399,TRUE
O0056,3/1/2026,C029,West,Sports,2,1199,FALSE
O0057,3/7/2026,C022,North,Sports,2,699,FALSE
O0058,1/4/2026,C003,South,Home,4,149,FALSE
O0059,3/31/2026,C025,West,Home,4,299,FALSE
O0060,2/24/2026,C015,South,Electronics,4,499,FALSE
O0061,2/28/2026,C009,West,Electronics,3,2499,TRUE
O0062,3/12/2026,C029,South,Books,4,,FALSE
O0063,3/8/2026,C032,South,Sports,3,1199,FALSE
O0064,2/4/2026,C022,East,Home,1,299,FALSE
O0065,3/30/2026,C010,South,Books,1,249,FALSE
O0066,2/23/2026,C004,South,Books,4,249,FALSE
O0067,3/3/2026,C001,East,Books,3,249,TRUE
O0068,3/4/2026,C015,East,Home,4,899,FALSE
O0069,3/27/2026,C026,South,Sports,4,399,
O0070,2/20/2026,C002,North,Electronics,4,799,FALSE
O0071,2/3/2026,C025,East,Electronics,2,2499,FALSE
O0072,2/5/2026,C027,East,Books,1,249,TRUE
O0073,2/14/2026,C015,North,Electronics,1,499,FALSE
O0074,3/21/2026,C010,South,Electronics,2,2499,TRUE
O0075,3/1/2026,C017,East,Home,2,149,FALSE
O0076,3/16/2026,C002,East,Electronics,4,2499,FALSE
O0077,1/14/2026,C020,North,Home,1,599,FALSE
O0078,1/9/2026,C033,East,Sports,1,1199,FALSE
O0079,2/16/2026,C030,South,Books,4,149,FALSE
O0080,3/1/2026,C028,East,Books,3,149,FALSE
